time,step,loss,examples/sec,sec/batch
2016-11-29 03:02:42.527761,3680,1.15,709.0,0.181
2016-11-29 03:02:44.336848,3690,1.23,731.0,0.175
2016-11-29 03:02:46.167368,3700,0.98,704.2,0.182
2016-11-29 03:02:48.162572,3710,1.20,710.4,0.180
2016-11-29 03:02:50.015941,3720,1.08,687.9,0.186
2016-11-29 03:02:51.846711,3730,1.13,690.6,0.185
2016-11-29 03:02:53.655069,3740,1.25,730.1,0.175
2016-11-29 03:02:55.473532,3750,1.11,695.3,0.184
2016-11-29 03:02:57.296709,3760,1.11,683.5,0.187
2016-11-29 03:02:59.109561,3770,1.23,683.4,0.187
2016-11-29 03:03:00.932203,3780,1.22,699.6,0.183
2016-11-29 03:03:02.778031,3790,0.92,719.5,0.178
2016-11-29 03:03:04.602783,3800,1.28,708.0,0.181
2016-11-29 03:03:06.614845,3810,1.15,681.2,0.188
2016-11-29 03:03:08.439458,3820,1.06,709.3,0.180
2016-11-29 03:03:10.268292,3830,1.19,695.9,0.184
2016-11-29 03:03:12.079957,3840,1.27,720.9,0.178
2016-11-29 03:03:13.900041,3850,1.06,710.4,0.180
2016-11-29 03:03:15.732866,3860,1.36,639.2,0.200
2016-11-29 03:03:17.532264,3870,1.15,686.4,0.186
2016-11-29 03:03:19.372055,3880,1.28,705.1,0.182
2016-11-29 03:03:21.207096,3890,1.04,629.5,0.203
2016-11-29 03:03:23.014022,3900,1.18,687.6,0.186
2016-11-29 03:03:25.011865,3910,1.16,709.5,0.180
2016-11-29 03:03:26.825914,3920,1.05,690.6,0.185
2016-11-29 03:03:28.638526,3930,0.99,712.0,0.180
2016-11-29 03:03:30.456826,3940,0.95,695.4,0.184
2016-11-29 03:03:32.285195,3950,1.11,695.1,0.184
2016-11-29 03:03:34.102009,3960,1.17,726.6,0.176
2016-11-29 03:03:35.913998,3970,1.16,710.7,0.180
2016-11-29 03:03:37.739625,3980,1.22,699.8,0.183
2016-11-29 03:03:39.580316,3990,0.98,618.9,0.207
2016-11-29 03:03:41.383725,4000,1.25,696.1,0.184
2016-11-29 03:03:43.868262,4010,1.17,673.9,0.190
2016-11-29 03:03:45.670872,4020,1.04,708.6,0.181
2016-11-29 03:03:47.491959,4030,1.07,699.1,0.183
2016-11-29 03:03:49.314884,4040,1.07,711.7,0.180
2016-11-29 03:03:51.152400,4050,0.84,697.8,0.183
2016-11-29 03:03:52.987619,4060,1.40,696.8,0.184
2016-11-29 03:03:54.804745,4070,1.02,701.9,0.182
2016-11-29 03:03:56.627032,4080,1.04,695.1,0.184
2016-11-29 03:03:58.430838,4090,1.04,707.9,0.181
2016-11-29 03:04:00.262593,4100,1.21,674.7,0.190
2016-11-29 03:04:02.288798,4110,1.12,672.3,0.190
2016-11-29 03:04:04.129652,4120,1.14,668.4,0.192
2016-11-29 03:04:05.950498,4130,1.01,704.8,0.182
2016-11-29 03:04:07.761391,4140,1.03,719.4,0.178
2016-11-29 03:04:09.592902,4150,1.04,661.2,0.194
2016-11-29 03:04:11.386211,4160,1.04,708.2,0.181
2016-11-29 03:04:13.201846,4170,1.25,686.7,0.186
2016-11-29 03:04:15.039933,4180,1.09,689.2,0.186
2016-11-29 03:04:16.840500,4190,1.15,727.7,0.176
2016-11-29 03:04:18.668071,4200,1.01,666.2,0.192
2016-11-29 03:04:20.663765,4210,0.81,714.8,0.179
2016-11-29 03:04:22.487774,4220,1.19,704.5,0.182
2016-11-29 03:04:24.301872,4230,1.24,697.2,0.184
2016-11-29 03:04:26.115433,4240,1.11,701.4,0.182
2016-11-29 03:04:27.929687,4250,1.22,702.2,0.182
2016-11-29 03:04:29.747213,4260,0.92,690.7,0.185
2016-11-29 03:04:31.572843,4270,1.06,712.8,0.180
2016-11-29 03:04:33.386461,4280,1.02,703.3,0.182
2016-11-29 03:04:35.208563,4290,1.40,698.5,0.183
2016-11-29 03:04:37.021701,4300,1.16,698.9,0.183
2016-11-29 03:04:39.019283,4310,1.10,705.3,0.181
2016-11-29 03:04:40.845936,4320,1.12,696.6,0.184
2016-11-29 03:04:42.664780,4330,0.94,765.2,0.167
2016-11-29 03:04:44.466635,4340,1.08,723.0,0.177
2016-11-29 03:04:46.285558,4350,1.36,688.5,0.186
2016-11-29 03:04:48.098600,4360,0.94,711.1,0.180
2016-11-29 03:04:49.915344,4370,0.97,710.2,0.180
2016-11-29 03:04:51.728892,4380,1.06,711.4,0.180
2016-11-29 03:04:53.557401,4390,1.01,693.1,0.185
2016-11-29 03:04:55.385490,4400,1.07,702.1,0.182
2016-11-29 03:04:57.397279,4410,1.12,695.0,0.184
2016-11-29 03:04:59.223969,4420,0.94,701.6,0.182
2016-11-29 03:05:01.042084,4430,0.97,708.2,0.181
2016-11-29 03:05:02.945947,4440,1.13,636.6,0.201
2016-11-29 03:05:04.750116,4450,1.14,706.7,0.181
2016-11-29 03:05:06.573909,4460,1.02,780.2,0.164
2016-11-29 03:05:08.377636,4470,1.04,708.0,0.181
2016-11-29 03:05:10.187397,4480,0.95,717.7,0.178
2016-11-29 03:05:12.025798,4490,1.05,688.3,0.186
2016-11-29 03:05:13.859518,4500,1.14,693.2,0.185
2016-11-29 03:05:15.853443,4510,1.03,710.3,0.180
